tempo_min,espessura_m,pressao_pa,mr_exp
0,0.003,0.8,1.00
120,0.003,0.8,0.52
240,0.003,0.8,0.35
360,0.003,0.8,0.27
480,0.003,0.8,0.22
600,0.003,0.8,0.17
720,0.003,0.8,0.14
840,0.003,0.8,0.10
960,0.003,0.8,0.07
1080,0.003,0.8,0.05
1200,0.003,0.8,0.03
1320,0.003,0.8,0.01
1440,0.003,0.8,0.00
0,0.003,1.0,1.00
120,0.003,1.0,0.58
240,0.003,1.0,0.42
360,0.003,1.0,0.34
480,0.003,1.0,0.28
600,0.003,1.0,0.24
720,0.003,1.0,0.19
840,0.003,1.0,0.14
960,0.003,1.0,0.11
1080,0.003,1.0,0.08
1200,0.003,1.0,0.05
1320,0.003,1.0,0.03
1440,0.003,1.0,0.01
1560,0.003,1.0,0.00
0,0.003,1.2,1.00
120,0.003,1.2,0.64
240,0.003,1.2,0.49
360,0.003,1.2,0.42
480,0.003,1.2,0.35
600,0.003,1.2,0.29
720,0.003,1.2,0.24
840,0.003,1.2,0.18
960,0.003,1.2,0.14
1080,0.003,1.2,0.10
1200,0.003,1.2,0.07
1320,0.003,1.2,0.04
1440,0.003,1.2,0.02
1560,0.003,1.2,0.01
1680,0.003,1.2,0.00
0,0.005,0.8,1.00
120,0.005,0.8,0.58
240,0.005,0.8,0.44
360,0.005,0.8,0.36
480,0.005,0.8,0.30
600,0.005,0.8,0.25
720,0.005,0.8,0.21
840,0.005,0.8,0.17
960,0.005,0.8,0.13
1080,0.005,0.8,0.09
1200,0.005,0.8,0.05
1320,0.005,0.8,0.03
1440,0.005,0.8,0.01
1560,0.005,0.8,0.00
0,0.005,1.0,1.00
120,0.005,1.0,0.67
240,0.005,1.0,0.52
360,0.005,1.0,0.44
480,0.005,1.0,0.35
600,0.005,1.0,0.30
720,0.005,1.0,0.26
840,0.005,1.0,0.21
960,0.005,1.0,0.17
1080,0.005,1.0,0.13
1200,0.005,1.0,0.10
1320,0.005,1.0,0.06
1440,0.005,1.0,0.04
1560,0.005,1.0,0.02
1680,0.005,1.0,0.01
1800,0.005,1.0,0.00
0,0.005,1.2,1.00
120,0.005,1.2,0.75
240,0.005,1.2,0.60
360,0.005,1.2,0.49
480,0.005,1.2,0.41
600,0.005,1.2,0.35
720,0.005,1.2,0.31
840,0.005,1.2,0.26
960,0.005,1.2,0.22
1080,0.005,1.2,0.18
1200,0.005,1.2,0.14
1320,0.005,1.2,0.10
1440,0.005,1.2,0.06
1560,0.005,1.2,0.03
1680,0.005,1.2,0.02
1800,0.005,1.2,0.01
1920,0.005,1.2,0.00
0,0.007,0.8,1.00
120,0.007,0.8,0.67
240,0.007,0.8,0.50
360,0.007,0.8,0.39
480,0.007,0.8,0.32
600,0.007,0.8,0.27
720,0.007,0.8,0.23
840,0.007,0.8,0.20
960,0.007,0.8,0.17
1080,0.007,0.8,0.14
1200,0.007,0.8,0.10
1320,0.007,0.8,0.06
1440,0.007,0.8,0.03
1560,0.007,0.8,0.01
1680,0.007,0.8,0.00
0,0.007,1.0,1.00
120,0.007,1.0,0.74
240,0.007,1.0,0.62
360,0.007,1.0,0.52
480,0.007,1.0,0.46
600,0.007,1.0,0.40
720,0.007,1.0,0.34
840,0.007,1.0,0.29
960,0.007,1.0,0.24
1080,0.007,1.0,0.18
1200,0.007,1.0,0.13
1320,0.007,1.0,0.09
1440,0.007,1.0,0.05
1560,0.007,1.0,0.03
1680,0.007,1.0,0.01
1800,0.007,1.0,0.00
0,0.007,1.2,1.00
120,0.007,1.2,0.84
240,0.007,1.2,0.68
360,0.007,1.2,0.59
480,0.007,1.2,0.52
600,0.007,1.2,0.46
720,0.007,1.2,0.41
840,0.007,1.2,0.35
960,0.007,1.2,0.29
1080,0.007,1.2,0.25
1200,0.007,1.2,0.20
1320,0.007,1.2,0.16
1440,0.007,1.2,0.11
1560,0.007,1.2,0.07
1680,0.007,1.2,0.05
1800,0.007,1.2,0.03
1920,0.007,1.2,0.01
