tempo_min,espessura_m,pressao_pa,mr_exp
0,0.005,3.0,1.00
30,0.005,3.0,0.89
60,0.005,3.0,0.77
90,0.005,3.0,0.67
120,0.005,3.0,0.58
150,0.005,3.0,0.50
180,0.005,3.0,0.42
210,0.005,3.0,0.35
240,0.005,3.0,0.29
270,0.005,3.0,0.23
300,0.005,3.0,0.18
330,0.005,3.0,0.14
360,0.005,3.0,0.12
390,0.005,3.0,0.10
420,0.005,3.0,0.08
450,0.005,3.0,0.06
480,0.005,3.0,0.04
510,0.005,3.0,0.03
540,0.005,3.0,0.01
570,0.005,3.0,0.01
0,0.007,3.0,1.00
30,0.007,3.0,0.93
60,0.007,3.0,0.85
90,0.007,3.0,0.78
120,0.007,3.0,0.70
150,0.007,3.0,0.62
180,0.007,3.0,0.53
210,0.007,3.0,0.46
240,0.007,3.0,0.39
270,0.007,3.0,0.35
300,0.007,3.0,0.31
330,0.007,3.0,0.28
360,0.007,3.0,0.24
390,0.007,3.0,0.22
420,0.007,3.0,0.18
450,0.007,3.0,0.14
480,0.007,3.0,0.10
510,0.007,3.0,0.07
540,0.007,3.0,0.05
570,0.007,3.0,0.04
600,0.007,3.0,0.03
630,0.007,3.0,0.02
660,0.007,3.0,0.02
690,0.007,3.0,0.01
720,0.007,3.0,0.01
